Time,Longitude,Latitude,Elevation
2022-02-17T09:34:53Z,-1.536369,53.796796,35.0
2022-02-17T09:35:14Z,-1.536506,53.796819,35.1
2022-02-17T09:35:21Z,-1.536657,53.796798,35.2
2022-02-17T09:35:28Z,-1.536817,53.796783,35.3
2022-02-17T09:35:31Z,-1.536892,53.796711,35.4
2022-02-17T09:35:34Z,-1.536967,53.796623,35.5
2022-02-17T09:35:38Z,-1.537082,53.796578,35.5
2022-02-17T09:35:44Z,-1.537221,53.796550,35.6
2022-02-17T09:35:49Z,-1.537373,53.796554,35.7
2022-02-17T09:35:54Z,-1.537515,53.796574,35.8
2022-02-17T09:36:01Z,-1.537667,53.796571,35.9
2022-02-17T09:36:07Z,-1.537809,53.796556,36.0
2022-02-17T09:36:13Z,-1.537955,53.796530,36.0
2022-02-17T09:36:18Z,-1.538071,53.796465,36.4
2022-02-17T09:36:23Z,-1.538202,53.796439,36.7
2022-02-17T09:36:28Z,-1.538341,53.796422,37.1
2022-02-17T09:36:33Z,-1.538485,53.796403,37.5
2022-02-17T09:36:38Z,-1.538624,53.796409,37.8
2022-02-17T09:36:44Z,-1.538778,53.796399,38.2
2022-02-17T09:36:50Z,-1.538919,53.796400,38.8
2022-02-17T09:36:56Z,-1.539064,53.796406,39.5
2022-02-17T09:37:01Z,-1.539188,53.796448,40.1
2022-02-17T09:37:07Z,-1.539338,53.796484,40.7
2022-02-17T09:37:13Z,-1.539450,53.796553,41.4
2022-02-17T09:37:19Z,-1.539564,53.796609,41.6
2022-02-17T09:37:26Z,-1.539660,53.796674,41.9
2022-02-17T09:37:33Z,-1.539774,53.796734,42.3
2022-02-17T09:37:40Z,-1.539899,53.796786,42.6
2022-02-17T09:37:47Z,-1.540030,53.796837,43.0
2022-02-17T09:37:54Z,-1.540075,53.796924,43.4
2022-02-17T09:38:01Z,-1.540099,53.797014,43.5
2022-02-17T09:38:07Z,-1.540091,53.797097,43.5
2022-02-17T09:38:14Z,-1.540083,53.797185,43.6
2022-02-17T09:38:21Z,-1.540125,53.797272,43.7
2022-02-17T09:38:27Z,-1.540124,53.797361,43.8
2022-02-17T09:38:33Z,-1.540125,53.797448,43.9
2022-02-17T09:38:39Z,-1.540129,53.797532,44.0
2022-02-17T09:38:46Z,-1.540118,53.797619,44.3
2022-02-17T09:38:52Z,-1.540090,53.797702,44.5
2022-02-17T09:38:58Z,-1.540075,53.797791,44.8
2022-02-17T09:39:04Z,-1.540057,53.797875,45.1
2022-02-17T09:39:09Z,-1.540067,53.797958,45.4
2022-02-17T09:39:15Z,-1.540058,53.798044,45.6
2022-02-17T09:39:22Z,-1.540003,53.798134,45.9
2022-02-17T09:39:27Z,-1.539922,53.798206,46.2
2022-02-17T09:39:33Z,-1.539872,53.798298,46.5
2022-02-17T09:39:39Z,-1.539851,53.798385,46.7
2022-02-17T09:39:46Z,-1.539826,53.798477,46.8
2022-02-17T09:39:52Z,-1.539799,53.798559,46.6
2022-02-17T09:39:59Z,-1.539779,53.798649,46.5
2022-02-17T09:40:08Z,-1.539794,53.798736,46.5
2022-02-17T09:40:17Z,-1.539929,53.798778,46.6
2022-02-17T09:40:24Z,-1.540047,53.798836,46.7
2022-02-17T09:40:29Z,-1.540185,53.798835,46.8
2022-02-17T09:40:35Z,-1.540332,53.798831,46.9
2022-02-17T09:40:41Z,-1.540474,53.798851,47.0
2022-02-17T09:40:47Z,-1.540628,53.798857,47.4
2022-02-17T09:40:53Z,-1.540768,53.798857,47.7
2022-02-17T09:40:59Z,-1.540908,53.798889,48.3
2022-02-17T09:41:05Z,-1.541040,53.798911,48.8
2022-02-17T09:41:11Z,-1.541181,53.798919,49.4
2022-02-17T09:41:20Z,-1.541310,53.798975,49.6
2022-02-17T09:41:26Z,-1.541446,53.798996,50.4
2022-02-17T09:41:32Z,-1.541602,53.798970,51.1
2022-02-17T09:41:38Z,-1.541745,53.798957,51.8
2022-02-17T09:41:45Z,-1.541905,53.798967,52.5
2022-02-17T09:41:50Z,-1.542011,53.799020,53.3
2022-02-17T09:41:55Z,-1.542138,53.799052,53.7
2022-02-17T09:42:01Z,-1.542288,53.799065,54.5
2022-02-17T09:42:07Z,-1.542425,53.799070,55.4
2022-02-17T09:42:13Z,-1.542568,53.799084,56.2
2022-02-17T09:42:19Z,-1.542684,53.799142,57.0
2022-02-17T09:42:25Z,-1.542831,53.799189,57.8
2022-02-17T09:42:30Z,-1.542962,53.799245,58.2
2022-02-17T09:42:35Z,-1.543087,53.799298,58.6
2022-02-17T09:42:40Z,-1.543209,53.799341,59.1
2022-02-17T09:42:47Z,-1.543339,53.799374,59.5
2022-02-17T09:43:02Z,-1.543471,53.799409,60.1
2022-02-17T09:43:08Z,-1.543626,53.799410,60.6
2022-02-17T09:43:14Z,-1.543762,53.799445,60.8
2022-02-17T09:43:20Z,-1.543858,53.799507,61.0
2022-02-17T09:43:25Z,-1.543905,53.799590,61.2
2022-02-17T09:43:30Z,-1.543956,53.799668,61.4
2022-02-17T09:43:35Z,-1.544012,53.799744,61.6
2022-02-17T09:43:44Z,-1.544097,53.799816,61.9
2022-02-17T09:43:52Z,-1.544181,53.799884,62.1
2022-02-17T09:43:59Z,-1.544296,53.799933,62.3
2022-02-17T09:44:08Z,-1.544451,53.799923,62.5
2022-02-17T09:44:13Z,-1.544604,53.799929,62.5
2022-02-17T09:44:18Z,-1.544725,53.799976,62.6
2022-02-17T09:44:24Z,-1.544713,53.800058,62.5
2022-02-17T09:44:34Z,-1.544711,53.800143,62.5
2022-02-17T09:44:42Z,-1.544701,53.800235,62.4
2022-02-17T09:44:52Z,-1.544778,53.800303,62.3
2022-02-17T09:45:00Z,-1.544841,53.800389,62.1
2022-02-17T09:45:04Z,-1.544883,53.800483,61.9
2022-02-17T09:45:07Z,-1.544932,53.800561,61.7
2022-02-17T09:45:11Z,-1.544833,53.800642,61.5
2022-02-17T09:45:14Z,-1.544679,53.800692,61.4
2022-02-17T09:45:17Z,-1.544540,53.800724,61.2
2022-02-17T09:45:21Z,-1.544402,53.800740,61.0
2022-02-17T09:45:26Z,-1.544307,53.800801,61.0
2022-02-17T09:45:31Z,-1.544354,53.800881,61.0
2022-02-17T09:45:36Z,-1.544491,53.800902,61.0
2022-02-17T09:45:42Z,-1.544631,53.800917,61.4
2022-02-17T09:45:48Z,-1.544754,53.800963,61.7
2022-02-17T09:45:58Z,-1.544798,53.801041,62.1
2022-02-17T09:46:03Z,-1.544805,53.801134,62.5
2022-02-17T09:46:09Z,-1.544862,53.801222,62.8
2022-02-17T09:46:15Z,-1.544940,53.801297,63.0
2022-02-17T09:46:21Z,-1.544978,53.801381,63.2
2022-02-17T09:46:27Z,-1.544988,53.801471,63.5
2022-02-17T09:46:33Z,-1.545021,53.801551,63.9
2022-02-17T09:46:33Z,-1.545021,53.801551,64.3
2022-02-17T09:48:42Z,-1.545382,53.801667,64.7
2022-02-17T09:48:50Z,-1.545249,53.801686,64.4
2022-02-17T09:48:57Z,-1.545178,53.801769,64.2
2022-02-17T09:49:06Z,-1.545164,53.801853,64.1
2022-02-17T09:49:13Z,-1.545203,53.801938,64.1
2022-02-17T09:49:28Z,-1.545297,53.802008,64.1
2022-02-17T09:49:39Z,-1.545391,53.802069,64.2
2022-02-17T09:49:54Z,-1.545539,53.802054,64.1
2022-02-17T09:49:58Z,-1.545691,53.802085,64.0
2022-02-17T09:50:03Z,-1.545768,53.802168,63.9
2022-02-17T09:50:12Z,-1.545781,53.802263,63.8
2022-02-17T09:50:18Z,-1.545841,53.802350,63.4
2022-02-17T09:50:24Z,-1.545904,53.802438,63.1
2022-02-17T09:50:29Z,-1.545970,53.802518,62.8
2022-02-17T09:50:35Z,-1.545982,53.802610,62.6
2022-02-17T09:50:49Z,-1.546066,53.802687,62.4
2022-02-17T09:50:53Z,-1.546131,53.802760,62.1
2022-02-17T09:50:58Z,-1.546161,53.802857,61.8
2022-02-17T09:51:02Z,-1.546247,53.802941,61.5
2022-02-17T09:51:06Z,-1.546317,53.803014,61.3
2022-02-17T09:51:12Z,-1.546434,53.803075,61.0
2022-02-17T09:51:18Z,-1.546546,53.803126,60.7
2022-02-17T09:51:24Z,-1.546599,53.803210,60.8
2022-02-17T09:51:30Z,-1.546676,53.803279,61.2
2022-02-17T09:51:34Z,-1.546745,53.803350,61.5
2022-02-17T09:51:39Z,-1.546845,53.803416,61.8
2022-02-17T09:51:44Z,-1.546929,53.803480,62.1
2022-02-17T09:51:50Z,-1.547016,53.803557,62.9
2022-02-17T09:51:56Z,-1.547123,53.803630,63.7
2022-02-17T09:52:02Z,-1.547231,53.803685,64.5
2022-02-17T09:52:09Z,-1.547387,53.803691,65.4
2022-02-17T09:52:15Z,-1.547456,53.803761,66.5
2022-02-17T09:52:24Z,-1.547497,53.803839,67.7
2022-02-17T09:52:30Z,-1.547633,53.803876,68.9
2022-02-17T09:52:39Z,-1.547720,53.803941,69.8
2022-02-17T09:52:49Z,-1.547872,53.803939,70.7
2022-02-17T09:52:56Z,-1.547943,53.804023,71.6
2022-02-17T09:52:59Z,-1.548048,53.804082,72.5
2022-02-17T09:53:02Z,-1.548141,53.804146,72.9
2022-02-17T09:53:07Z,-1.548224,53.804218,73.3
2022-02-17T09:53:14Z,-1.548261,53.804306,73.5
2022-02-17T09:53:19Z,-1.548348,53.804377,73.6
2022-02-17T09:53:23Z,-1.548414,53.804456,73.5
2022-02-17T09:53:27Z,-1.548491,53.804536,73.0
2022-02-17T09:53:31Z,-1.548531,53.804616,72.5
2022-02-17T09:53:36Z,-1.548561,53.804709,72.1
2022-02-17T09:53:41Z,-1.548627,53.804782,71.6
2022-02-17T09:53:47Z,-1.548676,53.804868,71.2
2022-02-17T09:53:53Z,-1.548742,53.804951,70.7
2022-02-17T09:53:59Z,-1.548804,53.805040,70.3
2022-02-17T09:54:06Z,-1.548859,53.805117,69.6
2022-02-17T09:54:13Z,-1.549016,53.805140,69.2
2022-02-17T09:54:18Z,-1.549148,53.805162,68.7
2022-02-17T09:54:23Z,-1.549278,53.805198,68.3
2022-02-17T09:54:29Z,-1.549418,53.805238,68.1
2022-02-17T09:54:36Z,-1.549551,53.805279,67.9
2022-02-17T09:54:43Z,-1.549680,53.805327,67.9
2022-02-17T09:54:49Z,-1.549815,53.805378,67.9
2022-02-17T09:54:54Z,-1.549954,53.805392,67.9
2022-02-17T09:55:00Z,-1.550105,53.805396,68.2
2022-02-17T09:55:06Z,-1.550246,53.805394,68.5
2022-02-17T09:55:14Z,-1.550398,53.805412,68.9
2022-02-17T09:55:20Z,-1.550537,53.805416,69.5
2022-02-17T09:55:25Z,-1.550699,53.805443,70.0
2022-02-17T09:55:31Z,-1.550828,53.805469,70.5
2022-02-17T09:55:40Z,-1.550978,53.805489,70.8
2022-02-17T09:55:46Z,-1.551135,53.805524,71.4
2022-02-17T09:55:51Z,-1.551283,53.805523,71.7
2022-02-17T09:55:57Z,-1.551416,53.805482,72.3
2022-02-17T09:56:04Z,-1.551551,53.805499,72.8
2022-02-17T09:56:10Z,-1.551643,53.805428,73.1
2022-02-17T09:56:16Z,-1.551790,53.805456,73.0
2022-02-17T09:56:20Z,-1.551928,53.805467,72.9
2022-02-17T09:56:26Z,-1.552083,53.805464,72.7
2022-02-17T09:56:31Z,-1.552234,53.805461,73.0
2022-02-17T09:56:35Z,-1.552385,53.805450,73.0
2022-02-17T09:56:39Z,-1.552520,53.805428,73.3
2022-02-17T09:56:44Z,-1.552659,53.805383,73.4
2022-02-17T09:56:49Z,-1.552804,53.805443,73.4
2022-02-17T09:56:54Z,-1.552940,53.805493,73.2
